utterance	representation
Can I get from Manhattan to Brooklyn before noon?	[IN:GET_ESTIMATED_ARRIVAL Can I get from [SL:SOURCE Manhattan ] to [SL:DESTINATION Brooklyn ] [SL:DATE_TIME_ARRIVAL before noon ] ? ]
How many miles are between San Diego and Seattle?	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] are between [SL:SOURCE San Diego ] and [SL:DESTINATION Seattle ] ? ]
Complimentary coffee nearby	[IN:UNSUPPORTED Complimentary coffee nearby ]
sushi specials in town tonight	[IN:UNSUPPORTED sushi specials in town tonight ]
Can I get to Houston before 7:30 tonight?	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION Houston ] [SL:DATE_TIME_ARRIVAL before 7 : 30 tonight ] ? ]
What time do i need to leave to get to Las Vegas by 3 PM?	[IN:GET_ESTIMATED_DEPARTURE What time do i need to leave to get to [SL:DESTINATION Las Vegas ] [SL:DATE_TIME_ARRIVAL by 3 PM ] ? ]
Movies times near Marilyn's house	[IN:UNSUPPORTED Movies times near Marilyn 's house ]
What is the distance between Louisiana and New Hampshire	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Louisiana ] and [SL:DESTINATION New Hampshire ] ]
What time does the Memphis zoo open on Sunday	[IN:UNSUPPORTED_EVENT What time does the Memphis zoo open on Sunday ]
what is the distance from California to Maine	[IN:GET_DISTANCE what is the distance from [SL:SOURCE California ] to [SL:DESTINATION Maine ] ]
Can I get to Main Street before noon with the current traffic conditions?	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION Main Street ] [SL:DATE_TIME_ARRIVAL before noon ] with the current traffic conditions ? ]
My friend Tony is leaving his house now, what time should he arrive at my location	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED My ] [SL:TYPE_RELATION friend ] [SL:CONTACT Tony ] is leaving his house ] ] [SL:DATE_TIME_DEPARTURE now ] , what time should he arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION_USER my location ] ] ] ]
Wake me up everyday except Wednesday this week at 8	[IN:UNSUPPORTED Wake me up everyday except Wednesday this week at 8 ]
Can I get from here to Greenville  tonight by 8:30pm?	[IN:GET_ESTIMATED_ARRIVAL Can I get from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Greenville ] [SL:DATE_TIME_ARRIVAL tonight by 8 : 30 pm ] ? ]
What is eta home	[IN:GET_ESTIMATED_ARRIVAL What is eta [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]
San Diego clubs that are open right now	[IN:UNSUPPORTED San Diego clubs that are open right now ]
How many cliffs are on the way to tahoe	[IN:GET_INFO_ROUTE How many [SL:WAYPOINT cliffs ] are on the way to [SL:DESTINATION tahoe ] ]
What is the distance  Orlando FL to Tampa FL	[IN:GET_DISTANCE What is the distance [SL:SOURCE Orlando FL ] to [SL:DESTINATION Tampa FL ] ]
How many kilometers are between Chicago and London	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE kilometers ] are between [SL:SOURCE Chicago ] and [SL:DESTINATION London ] ]
i know i can get to cambrige by 5 but can i get from cambrige to forest lake by ten if i leave there at 6	[IN:GET_ESTIMATED_ARRIVAL i know i can get to [SL:SOURCE cambrige ] by 5 but can i get from cambrige to [SL:DESTINATION forest lake ] [SL:DATE_TIME_ARRIVAL by ten ] if i leave there [SL:DATE_TIME_DEPARTURE at 6 ] ]
what time do I need to leave sacred heart hospital if I need to be at Baptist urgent care on 9 mile road at 2 pm.	[IN:GET_ESTIMATED_DEPARTURE what time do I need to leave [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP sacred heart hospital ] ] ] if I need to be at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Baptist urgent care ] on [SL:LOCATION_MODIFIER 9 mile road ] ] ] [SL:DATE_TIME_ARRIVAL at 2 pm ] . ]
eta to home	[IN:GET_ESTIMATED_ARRIVAL eta to [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]
What is the distance between Houston and San Diego	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Houston ] and [SL:DESTINATION San Diego ] ]
Distance from Denver to Phoenix	[IN:GET_DISTANCE Distance from [SL:SOURCE Denver ] to [SL:DESTINATION Phoenix ] ]
what is the distance by road to portland oregon from here	[IN:GET_DISTANCE what is the distance by road to [SL:DESTINATION portland oregon ] from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] ]
How far is Bend from Portland	[IN:GET_DISTANCE How far is [SL:DESTINATION Bend ] from [SL:SOURCE Portland ] ]
What roads are closing for President Trump's speech in Pensacola today	[IN:UNSUPPORTED What roads are closing for President Trump 's speech in Pensacola today ]
best place to drink a buzz	[IN:UNSUPPORTED_EVENT best place to drink a buzz ]
Are tickets available for MMA yet	[IN:UNSUPPORTED_EVENT Are tickets available for MMA yet ]
How far is it to Chicago	[IN:GET_DISTANCE How far is it to [SL:DESTINATION Chicago ] ]
What's the distance between Charlotte and Tampa	[IN:GET_DISTANCE What 's the distance between [SL:SOURCE Charlotte ] and [SL:DESTINATION Tampa ] ]
How far is Atlanta from Washington DC	[IN:GET_DISTANCE How far is [SL:DESTINATION Atlanta ] from [SL:SOURCE Washington DC ] ]
which one is the better fair to go to near me	[IN:UNSUPPORTED_EVENT which one is the better fair to go to near me ]
When was the last time John went online?	[IN:UNSUPPORTED When was the last time John went online ? ]
did christina porter from high school join my volleyball group yet?	[IN:UNSUPPORTED did christina porter from high school join my volleyball group yet ? ]
give me the time i will make it to cambridge if i leave now	[IN:GET_ESTIMATED_ARRIVAL give me the time i will make it to [SL:DESTINATION cambridge ] if i leave [SL:DATE_TIME_DEPARTURE now ] ]
Are there discounted tickets for any concerts nearby	[IN:UNSUPPORTED_EVENT Are there discounted tickets for any concerts nearby ]
How many miles is it to London from Naples, FL	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it to [SL:DESTINATION London ] from [SL:SOURCE Naples , FL ] ]
whats the hot club on friday nights	[IN:UNSUPPORTED_EVENT whats the hot club on friday nights ]
If I leave from here in 15 minutes what time will I arrive in Glendale	[IN:GET_ESTIMATED_ARRIVAL If I leave from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] [SL:DATE_TIME_DEPARTURE in 15 minutes ] what time will I arrive in [SL:DESTINATION Glendale ] ]
Distance from here to Las vegas	[IN:GET_DISTANCE Distance from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Las vegas ] ]
What is the distance between Georgia and North Carolina	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Georgia ] and [SL:DESTINATION North Carolina ] ]
Driving distances between Louisville and Orlando	[IN:GET_DISTANCE [SL:METHOD_TRAVEL Driving ] distances between [SL:SOURCE Louisville ] and [SL:DESTINATION Orlando ] ]
My brother wants to meet at his house at 10pm when should I leave my sisters using highway 88	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED My ] [SL:TYPE_RELATION brother ] wants to meet at his house ] ] [SL:DATE_TIME_ARRIVAL at 10 pm ] when should I leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION sisters ] ] ] using [SL:PATH highway 88 ] ]
How far is it to Montana from my house	[IN:GET_DISTANCE How far is it to [SL:DESTINATION Montana ] from [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] ]
what is the distance between Seattle and New York City	[IN:GET_DISTANCE what is the distance between [SL:SOURCE Seattle ] and [SL:DESTINATION New York City ] ]
how far is the gym	[IN:GET_DISTANCE how far is [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the gym ] ] ] ]
If I need to arrive at church at 7pm tonight what time should I leave here	[IN:GET_ESTIMATED_DEPARTURE If I need to arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION church ] ] ] [SL:DATE_TIME_ARRIVAL at 7 pm tonight ] what time should I leave [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] ]
what is the distance from my house to Tina's house	[IN:GET_DISTANCE what is the distance from [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT Tina ] 's house ] ] ]
What color is the school building my sister goes to?	[IN:UNSUPPORTED What color is the school building my sister goes to ? ]
What's a popular place for a party	[IN:UNSUPPORTED_EVENT What 's a popular place for a party ]
Can I get from here to Dover by 9pm tonight?	[IN:GET_ESTIMATED_ARRIVAL Can I get from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Dover ] [SL:DATE_TIME_ARRIVAL by 9 pm tonight ] ? ]
how far from new jersey to new York	[IN:GET_DISTANCE how far from [SL:SOURCE new jersey ] to [SL:DESTINATION new York ] ]
What year is my highschool reunion?	[IN:UNSUPPORTED What year is my highschool reunion ? ]
Macy's store hours	[IN:UNSUPPORTED Macy 's store hours ]
distance between memphis and nashville	[IN:GET_DISTANCE distance between [SL:SOURCE memphis ] and [SL:DESTINATION nashville ] ]
what's the distance from athens, alabama to athens, georgia	[IN:GET_DISTANCE what 's the distance from [SL:SOURCE athens , alabama ] to [SL:DESTINATION athens , georgia ] ]
When does Dunkin Donuts come out with their Christmas flavors	[IN:UNSUPPORTED When does Dunkin Donuts come out with their Christmas flavors ]
What are the latest opened bars in downtown Reno	[IN:UNSUPPORTED What are the latest opened bars in downtown Reno ]
what's the distance from North Carolina to Washington State	[IN:GET_DISTANCE what 's the distance from [SL:SOURCE North Carolina ] to [SL:DESTINATION Washington State ] ]
Is there a shortcut around the construction zone	[IN:UPDATE_DIRECTIONS Is there a shortcut around [SL:OBSTRUCTION_AVOID the construction zone ] ]
How far to the next grocery store	[IN:GET_DISTANCE How far to [SL:DESTINATION [IN:GET_LOCATION the [SL:LOCATION_MODIFIER next ] [SL:CATEGORY_LOCATION grocery store ] ] ] ]
how many miles to portland	[IN:GET_DISTANCE how many [SL:UNIT_DISTANCE miles ] to [SL:DESTINATION portland ] ]
food near me	[IN:UNSUPPORTED food near me ]
What is the distance between Mexico and Houston	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Mexico ] and [SL:DESTINATION Houston ] ]
can i get from school to blythe by 9	[IN:GET_ESTIMATED_ARRIVAL can i get from [SL:SOURCE [IN:GET_LOCATION_SCHOOL school ] ] to [SL:DESTINATION blythe ] [SL:DATE_TIME_ARRIVAL by 9 ] ]
are there any museums in downtown Las Vegas	[IN:UNSUPPORTED are there any museums in downtown Las Vegas ]
What is the distance between Atlanta and New York	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Atlanta ] and [SL:DESTINATION New York ] ]
If I leave now, can I get to Vancouver by 9pm?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:DATE_TIME_DEPARTURE now ] , can I get to [SL:DESTINATION Vancouver ] [SL:DATE_TIME_ARRIVAL by 9 pm ] ? ]
cider mills open today	[IN:UNSUPPORTED cider mills open today ]
restaurants recommendation in springfield for next week	[IN:UNSUPPORTED restaurants recommendation in springfield for next week ]
top golf Detroit	[IN:UNSUPPORTED top golf Detroit ]
Where is the closest hotel	[IN:GET_LOCATION Where is the [SL:LOCATION_MODIFIER closest ] [SL:CATEGORY_LOCATION hotel ] ]
What are La Copine's hours this week	[IN:UNSUPPORTED What are La Copine 's hours this week ]
How many miles is it from Wichita to Kansas City	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it from [SL:SOURCE Wichita ] to [SL:DESTINATION Kansas City ] ]
when will I get to my sister's home if I leave at 5pm	[IN:GET_ESTIMATED_ARRIVAL when will I get to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION sister ] 's home ] ] if I leave [SL:DATE_TIME_DEPARTURE at 5 pm ] ]
miles from greenville to charleston	[IN:GET_DISTANCE [SL:UNIT_DISTANCE miles ] from [SL:SOURCE greenville ] to [SL:DESTINATION charleston ] ]
how many miles between los angeles and san diego	[IN:GET_DISTANCE how many [SL:UNIT_DISTANCE miles ] between [SL:SOURCE los angeles ] and [SL:DESTINATION san diego ] ]
What's the distance between Iowa and Ohio	[IN:GET_DISTANCE What 's the distance between [SL:SOURCE Iowa ] and [SL:DESTINATION Ohio ] ]
Locations near Central Jersey collecting cold weather gear the month of December	[IN:UNSUPPORTED Locations near Central Jersey collecting cold weather gear the month of December ]
where is nearest rest stop	[IN:GET_LOCATION where is [SL:LOCATION_MODIFIER nearest ] [SL:CATEGORY_LOCATION rest stop ] ]
what is the best diet for a diabetic?	[IN:UNSUPPORTED what is the best diet for a diabetic ? ]
How many miles is it from Florida to Arizona	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it from [SL:SOURCE Florida ] to [SL:DESTINATION Arizona ] ]
Can I get from here to Westpoint in 10 minutes?	[IN:GET_ESTIMATED_ARRIVAL Can I get from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Westpoint ] [SL:DATE_TIME_ARRIVAL in 10 minutes ] ? ]
Where is a good shopping mall in New York this week	[IN:UNSUPPORTED_EVENT Where is a good shopping mall in New York this week ]
How many miles is it to Walmart in Canton	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Walmart ] in [SL:LOCATION_MODIFIER Canton ] ] ] ]
What time would I get to tyler house if I left at 7pm	[IN:GET_ESTIMATED_ARRIVAL What time would I get to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT tyler ] house ] ] if I left [SL:DATE_TIME_DEPARTURE at 7 pm ] ]
What state has the most traffic in world	[IN:UNSUPPORTED What state has the most traffic in world ]
Where are the best places to get tapas in town	[IN:UNSUPPORTED Where are the best places to get tapas in town ]
How many miles is a flight from Detroit to London	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is a [SL:METHOD_TRAVEL flight ] from [SL:SOURCE Detroit ] to [SL:DESTINATION London ] ]
what is the distance between falcon trace and maitland	[IN:GET_DISTANCE what is the distance between [SL:SOURCE falcon trace ] and [SL:DESTINATION maitland ] ]
If I leave Claridge's now, what time will I arrive in Heahtrow?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP Claridge 's ] ] ] [SL:DATE_TIME_DEPARTURE now ] , what time will I arrive in [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Heahtrow ] ] ] ? ]
How many miles is it from Florida to California	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it from [SL:SOURCE Florida ] to [SL:DESTINATION California ] ]
What's the distance between Detroit and Farmington Hills, MI	[IN:GET_DISTANCE What 's the distance between [SL:SOURCE Detroit ] and [SL:DESTINATION Farmington Hills , MI ] ]
When should I leave tomorrow if I want to be at the Shores Golf Club by 1pm?	[IN:GET_ESTIMATED_DEPARTURE When should I leave [SL:DATE_TIME_DEPARTURE tomorrow ] if I want to be at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Shores Golf Club ] ] ] [SL:DATE_TIME_ARRIVAL by 1 pm ] ? ]
what's the distance between Albany and New Brunswick	[IN:GET_DISTANCE what 's the distance between [SL:SOURCE Albany ] and [SL:DESTINATION New Brunswick ] ]
Can I get to the Forum by 7 pm on Friday if I leave the house at 5:30?	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Forum ] ] ] [SL:DATE_TIME_ARRIVAL by 7 pm on Friday ] if I leave [SL:SOURCE [IN:GET_LOCATION_HOME the house ] ] [SL:DATE_TIME_DEPARTURE at 5 : 30 ] ? ]
What's the distance between Miami and Orlando	[IN:GET_DISTANCE What 's the distance between [SL:SOURCE Miami ] and [SL:DESTINATION Orlando ] ]
ETA to airport	[IN:GET_ESTIMATED_ARRIVAL ETA to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION airport ] ] ] ]
SHOULD I LEAVE EARLY TO AVOID TRAFFIC	[IN:GET_ESTIMATED_DEPARTURE SHOULD I LEAVE EARLY TO AVOID [SL:OBSTRUCTION_AVOID TRAFFIC ] ]
Where can I get some authentic pork buns	[IN:UNSUPPORTED Where can I get some authentic pork buns ]
Can I get from here to Tampa before 5pm?	[IN:GET_ESTIMATED_ARRIVAL Can I get from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Tampa ] [SL:DATE_TIME_ARRIVAL before 5 pm ] ? ]
when will i get home with this present traffic	[IN:GET_ESTIMATED_ARRIVAL when will i get [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] with this present traffic ]
Where is a close mexican restaurant in Portland	[IN:UNSUPPORTED Where is a close mexican restaurant in Portland ]
How many Kilometers between Paris and Marseille	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE Kilometers ] between [SL:SOURCE Paris ] and [SL:DESTINATION Marseille ] ]
80's themed night clubs in Chicago or nearby to visit	[IN:UNSUPPORTED_EVENT 80 ' s themed night clubs in Chicago or nearby to visit ]
is it possible to take to Rio das Ostras before the dawn if I leave tomorrow morning?	[IN:GET_ESTIMATED_ARRIVAL is it possible to take to [SL:DESTINATION Rio das Ostras ] [SL:DATE_TIME_ARRIVAL before the dawn ] if I leave [SL:DATE_TIME_DEPARTURE tomorrow morning ] ? ]
alternate routes to san jose	[IN:UPDATE_DIRECTIONS alternate routes to [SL:DESTINATION san jose ] ]
How many miles from Grand Rapids to Miami	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] from [SL:SOURCE Grand Rapids ] to [SL:DESTINATION Miami ] ]
How far is it from Los Angeles to Orlando	[IN:GET_DISTANCE How far is it from [SL:SOURCE Los Angeles ] to [SL:DESTINATION Orlando ] ]
What time should I leave Judy's house to make it to church before 9AM?	[IN:GET_ESTIMATED_DEPARTURE What time should I leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT Judy ] 's house ] ] to make it to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION church ] ] ] [SL:DATE_TIME_ARRIVAL before 9AM ] ? ]
What is the distance from my house to New York	[IN:GET_DISTANCE What is the distance from [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] to [SL:DESTINATION New York ] ]
What time should I leave the house to get to school by 8AM?	[IN:GET_ESTIMATED_DEPARTURE What time should I leave [SL:SOURCE [IN:GET_LOCATION_HOME the house ] ] to get to [SL:DESTINATION [IN:GET_LOCATION_SCHOOL school ] ] [SL:DATE_TIME_ARRIVAL by 8AM ] ? ]
what is the distance between la jolla and hollywood	[IN:GET_DISTANCE what is the distance between [SL:SOURCE la jolla ] and [SL:DESTINATION hollywood ] ]
If I leave sometime this afternoon, will I get to Amelia's before 12AM?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:DATE_TIME_DEPARTURE sometime this afternoon ] , will I get to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT Amelia ] ] ] 's [SL:DATE_TIME_ARRIVAL before 12AM ] ? ]
What is the distance from NY City to Cleveland OH	[IN:GET_DISTANCE What is the distance from [SL:SOURCE NY City ] to [SL:DESTINATION Cleveland OH ] ]
What is my estimated time of arrival to Tallahassee	[IN:GET_ESTIMATED_ARRIVAL What is my estimated time of arrival to [SL:DESTINATION Tallahassee ] ]
Saloons in Orlando	[IN:UNSUPPORTED_EVENT Saloons in Orlando ]
Is there a better route that I can take with no traffic	[IN:UPDATE_DIRECTIONS Is there a better route that I can take with no [SL:OBSTRUCTION_AVOID traffic ] ]
How many miles is this detour	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is [SL:PATH this detour ] ]
how far away is sacramento from roseville	[IN:GET_DISTANCE how far away is [SL:DESTINATION sacramento ] from [SL:SOURCE roseville ] ]
What time should I expect to get home from current location if I take route 10 based on current congestion?	[IN:GET_ESTIMATED_ARRIVAL What time should I expect to get [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER current location ] ] ] if I take [SL:PATH route 10 ] based on current congestion ? ]
What is the distance from Mexico to Canada	[IN:GET_DISTANCE What is the distance from [SL:SOURCE Mexico ] to [SL:DESTINATION Canada ] ]
when should i leave	[IN:GET_ESTIMATED_DEPARTURE when should i leave ]
Tell me when I'll get in to Roslyn if I take the southern state parkway from here	[IN:GET_ESTIMATED_ARRIVAL Tell me when I'll get in to [SL:DESTINATION Roslyn ] if I take [SL:PATH the southern state parkway ] from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] ]
Mall of America holiday hours	[IN:UNSUPPORTED Mall of America holiday hours ]
What is the go to place to visit in the Bahamas	[IN:UNSUPPORTED What is the go to place to visit in the Bahamas ]
wine bars in Chicago	[IN:UNSUPPORTED wine bars in Chicago ]
can i get from here to orlando in 15 minutes	[IN:GET_ESTIMATED_ARRIVAL can i get from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION orlando ] [SL:DATE_TIME_ARRIVAL in 15 minutes ] ]
Can I add a stop at a gas station along the road trip route	[IN:UPDATE_DIRECTIONS Can I add a stop at a [SL:WAYPOINT_ADDED [IN:GET_LOCATION [SL:CATEGORY_LOCATION gas station ] ] ] along the road trip route ]
what is the distance from anchorage to talkeetna	[IN:GET_DISTANCE what is the distance from [SL:SOURCE anchorage ] to [SL:DESTINATION talkeetna ] ]
Am I able to get from here to Las Vegas before 1 pm?	[IN:GET_ESTIMATED_ARRIVAL Am I able to get from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Las Vegas ] [SL:DATE_TIME_ARRIVAL before 1 pm ] ? ]
Can I get to Manhattan by 9:00 pm in current traffic?	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION Manhattan ] [SL:DATE_TIME_ARRIVAL by 9 : 00 pm ] in current traffic ? ]
If we leave church at 12pm at what time we will be in Uncle's Tom house	[IN:GET_ESTIMATED_ARRIVAL If we leave [SL:SOURCE [IN:GET_LOCATION [SL:CATEGORY_LOCATION church ] ] ] [SL:DATE_TIME_DEPARTURE at 12 pm ] at what time we will be in [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION Uncle ] 's [SL:CONTACT Tom ] house ] ] ]
what is the distance to new York	[IN:GET_DISTANCE what is the distance to [SL:DESTINATION new York ] ]
If I leave here at 8 am, when will I get to Alex?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] [SL:DATE_TIME_DEPARTURE at 8 am ] , when will I get to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT Alex ] ] ] ? ]
Are there any detours to avoid the West Side Highway?	[IN:UPDATE_DIRECTIONS Are there any detours to avoid [SL:PATH_AVOID the West Side Highway ] ? ]
Show me how many days until Holloween.	[IN:UNSUPPORTED Show me how many days until Holloween . ]
at what time will we arrive tomorrow	[IN:GET_ESTIMATED_ARRIVAL at what time will we arrive [SL:DATE_TIME_ARRIVAL tomorrow ] ]
How far is the dentist in this traffic	[IN:GET_DISTANCE How far is [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the dentist ] ] ] in this traffic ]
how many miles from knoxville, tenn to lexington, ky	[IN:GET_DISTANCE how many [SL:UNIT_DISTANCE miles ] from [SL:SOURCE knoxville , tenn ] to [SL:DESTINATION lexington , ky ] ]
what's the distance between phoenix and san francisco	[IN:GET_DISTANCE what 's the distance between [SL:SOURCE phoenix ] and [SL:DESTINATION san francisco ] ]
I need to know what time it will be when I get to Timmy's house in Athens if I leave in an hour.	[IN:GET_ESTIMATED_ARRIVAL I need to know what time it will be when I get to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT Timmy ] 's house in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER Athens ] ] ] ] ] if I leave [SL:DATE_TIME_DEPARTURE in an hour ] . ]
Is there a different route to avoid traffic	[IN:UPDATE_DIRECTIONS Is there a different route to avoid [SL:OBSTRUCTION_AVOID traffic ] ]
What's the distance between Topeka and Atchison	[IN:GET_DISTANCE What 's the distance between [SL:SOURCE Topeka ] and [SL:DESTINATION Atchison ] ]
Where  can I get food after 8 PM in Paris	[IN:UNSUPPORTED Where can I get food after 8 PM in Paris ]
How far is Hawaii from LA	[IN:GET_DISTANCE How far is [SL:DESTINATION Hawaii ] from [SL:SOURCE LA ] ]
Who made an event to climb in Squamish this summer?	[IN:UNSUPPORTED Who made an event to climb in Squamish this summer ? ]
How many miles between Atlanta and West Palm Beach	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] between [SL:SOURCE Atlanta ] and [SL:DESTINATION West Palm Beach ] ]
please tell me the distance between Providence and New York City	[IN:GET_DISTANCE please tell me the distance between [SL:SOURCE Providence ] and [SL:DESTINATION New York City ] ]
send out an email to family for next weeks events	[IN:UNSUPPORTED send out an email to family for next weeks events ]
Should I go to the concert	[IN:UNSUPPORTED_EVENT Should I go to the concert ]
What clubs are open tonight	[IN:UNSUPPORTED What clubs are open tonight ]
Can I get to Mansoura  by 5:00 pm with current traffic conditions?	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION Mansoura ] [SL:DATE_TIME_ARRIVAL by 5 : 00 pm ] with current traffic conditions ? ]
What is the closet gas station near Cattle road?	[IN:GET_LOCATION What is the [SL:LOCATION_MODIFIER closet ] [SL:CATEGORY_LOCATION gas station ] [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS near ] [SL:LOCATION Cattle road ] ] ] ? ]
When is the earliest the clubs open in Las Vegas	[IN:UNSUPPORTED When is the earliest the clubs open in Las Vegas ]
what is the total mileage for me to get to Burlington, VT from my house, I'm going to the Hilton on Church St.	[IN:GET_DISTANCE what is the total [SL:UNIT_DISTANCE mileage ] for me to get to [SL:DESTINATION Burlington , VT ] from [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] , I'm going to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Hilton ] on [SL:LOCATION_MODIFIER Church St ] ] ] . ]
If I leave now can I get to New Braunfels before 10am?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:DATE_TIME_DEPARTURE now ] can I get to [SL:DESTINATION New Braunfels ] [SL:DATE_TIME_ARRIVAL before 10 am ] ? ]
how many miles from Memphis to Chicago	[IN:GET_DISTANCE how many [SL:UNIT_DISTANCE miles ] from [SL:SOURCE Memphis ] to [SL:DESTINATION Chicago ] ]
Can I get tickets to the next Exhibit at the Pacific Science Center in Seattle	[IN:UNSUPPORTED_EVENT Can I get tickets to the next Exhibit at the Pacific Science Center in Seattle ]
Which state parks will be open on Sunday	[IN:UNSUPPORTED Which state parks will be open on Sunday ]
What time should I leave if I want to get to San Diego tomorrow night?	[IN:GET_ESTIMATED_DEPARTURE What time should I leave if I want to get to [SL:DESTINATION San Diego ] [SL:DATE_TIME_ARRIVAL tomorrow night ] ? ]
What's the distance between Philadelphia and New York	[IN:GET_DISTANCE What 's the distance between [SL:SOURCE Philadelphia ] and [SL:DESTINATION New York ] ]
What clubs are still around from college	[IN:UNSUPPORTED What clubs are still around from college ]
